阶段	文件名称	文件编号	状态	申请人  
dT1&T2	持续葡萄糖监测系统用户需求规范	S0023-9001	已上传爱数	
dT1&T2	持续葡萄糖监测系统设计和开发计划	S0023-9002	已上传爱数	
dT1&T2	持续葡萄糖监测系统软件开发计划	S0023-9003	已上传爱数	
T1&T2	持续葡萄糖监测系统（CGMs）项目文件计划	S0023-9004	待输出	孙晓虹
T1&T2	持续葡萄糖监测系统注册临床路径	S0023-9005	待输出	注册
dT1&T2	持续葡萄糖监测系统上市前风险管理计划	S0023-9006	已上传爱数	
T1&T2	持续葡萄糖监测系统专用法规标准清单--展开标准	S0023-9008	待输出	注册
T1&T2	法规标准分析表	S0023-9008-01~	待输出	项目组
dT1&T2	持续葡萄糖监测系统危害分析报告	S0023-9009	已上传爱数	
dT1&T2	持续葡萄糖监测系统产品需求规范	S0023-9010	已上传爱数	
dT1&T2	持续葡萄糖监测系统产品需求规范评审报告	S0023-9011	已上传爱数	
wrong format T1&T2	持续葡萄糖监测系统产品设计输入追溯表	S0023-9012	已上传爱数	              
d（irregualr format）T1&T2	持续葡萄糖监测系统接收端软件需求规范	S0023-9013	已上传爱数	
T1&T2	State of the Art (最新技术水平报告)（欧盟市场）	S0023-9014	待输出	临床
T1&T2	MDR 一般安全和性能要求检查表（欧盟市场 GSPR）	S0023-9015	待输出	注册
dT1&T2	持续葡萄糖监测系统（CGMs）T1&T2技术评审报告	S0023-9007	已上传爱数	
T3	临床评价计划（CE）	S0023-9016	待输出	临床
dT3	持续葡萄糖监测系统产品架构设计	S0023-9017	已上传爱数	
dT3	持续葡萄糖监测系统发射器架构和软件详细设计	S0023-9018	已上传爱数	
T3	持续葡萄糖监测系统接收端手机应用软件架构设计和详细设计	S0023-9021	已上传爱数	
T3	接收端软件需求规范	S0023-9023	已上传爱数	
T3	持续葡萄糖监测系统接收端手机应用软件集成测试方案	S0023-9027A	已上传爱数	
T3	持续葡萄糖监测系统接收端手机应用软件集成测试报告	S0023-9027B	已上传爱数	
T3	持续葡萄糖监测系统接收端手机应用软件系统测试方案	S0023-9028A	已上传爱数	
T3	持续葡萄糖监测系统接收端手机应用软件系统测试报告	S0023-9028B	已上传爱数	
T3	持续葡萄糖监测系统接收端软件发布日志	S0023-9029	已上传爱数	
T3	持续葡萄糖监测系统产品生物学评价计划	S0023-9030	已上传爱数	
T3	持续葡萄糖监测系统设计故障模式与效应分析报告（DFMEA)	S0023-9032	已上传爱数	
T3	持续葡萄糖监测系统使用故障模式与效应分析报告（UseFMEA）	S0023-9033	已上传爱数	
T3	持续葡萄糖监测系统数据资产网络安全分析报告	S0023-9034	待输出	张荣旺
T3	持续葡萄糖监测系统使用说明书	S0023-9036	已上传爱数	
